22:27:01, CPU, %user,%nice, %system, %iowait, %steal, %idle
22:27:02, all,  0.50, 0.00,    1.50,    0.00,   0.00, 98.00
22:27:03, all,  0.00, 0.00,    0.50,    0.00,   0.00, 99.50
22:27:04, all,  0.50, 0.00,    0.00,    0.00,   0.00, 99.50
22:27:05, all, 31.50, 0.00,   11.00,    0.00,   0.00, 57.50
22:27:06, all, 34.00, 0.00,   12.50,    0.00,   0.00, 53.50
22:27:07, all, 27.50, 0.00,   14.00,    2.00,   0.00, 56.50
22:27:08, all, 35.00, 0.00,   11.00,    0.00,   0.00, 54.00
22:27:09, all, 34.50, 0.00,    9.50,    0.00,   0.00, 56.00
22:27:10, all, 33.50, 0.00,    9.00,    0.00,   0.00, 57.50
22:27:11, all, 30.00, 0.00,   12.50,    0.00,   0.00, 57.50
22:27:12, all, 29.50, 0.00,   16.00,   43.50,   0.00, 11.00
22:27:13, all, 29.50, 0.00,   16.50,    0.00,   0.00, 54.00
22:27:14, all, 28.00, 0.00,   12.50,    0.00,   0.00, 59.50
22:27:15, all, 35.50, 0.00,   11.00,    0.00,   0.00, 53.50
22:27:16, all, 30.00, 0.00,   14.00,    0.00,   0.00, 56.00
22:27:17, all, 33.50, 0.00,    6.00,    0.50,   0.00, 60.00
22:27:18, all, 33.00, 0.00,    9.00,    0.00,   0.00, 58.00
22:27:19, all, 40.00, 0.00,    9.00,    0.00,   0.00, 51.00
22:27:20, all, 36.00, 0.00,    9.50,    0.00,   0.00, 54.50
22:27:21, all, 35.50, 0.00,   10.00,    0.00,   0.00, 54.50
22:27:22, all, 30.50, 0.00,   14.00,    0.50,   0.00, 55.00
22:27:23, all, 33.50, 0.00,   15.00,    0.00,   0.00, 51.50
22:27:24, all, 38.50, 0.00,   12.50,    0.00,   0.00, 49.00
22:27:25, all, 31.50, 0.00,   13.50,    0.00,   0.00, 55.00
22:27:26, all, 33.00, 0.00,   13.50,    0.00,   0.00, 53.50
22:27:27, all, 31.00, 0.00,   12.50,    0.00,   0.00, 56.50
22:27:28, all, 34.00, 0.00,    8.50,    0.00,   0.00, 57.50
22:27:29, all, 35.00, 0.00,   12.50,    0.00,   0.00, 52.50
22:27:30, all, 33.00, 0.00,   13.50,    0.00,   0.00, 53.50
22:27:31, all, 34.00, 0.00,   12.00,    0.00,   0.00, 54.00
22:27:32, all, 28.50, 0.00,   14.50,    0.00,   0.00, 57.00
22:27:33, all, 33.00, 0.00,   12.50,    0.00,   0.00, 54.50
22:27:34, all, 29.50, 0.00,   16.50,    0.00,   0.00, 54.00
22:27:35, all, 31.50, 0.00,   25.00,    0.00,   0.00, 43.50
22:27:36, all, 34.50, 0.00,   23.00,    0.00,   0.00, 42.50
22:27:37, all, 37.50, 0.00,   21.00,    1.00,   0.00, 40.50
22:27:38, all, 30.00, 0.00,   25.00,    0.00,   0.00, 45.00
22:27:39, all, 29.00, 0.00,   28.50,    0.00,   0.00, 42.50
22:27:40, all, 29.00, 0.00,   23.50,    0.00,   0.00, 47.50
22:27:41, all, 29.50, 0.00,   26.00,    0.00,   0.00, 44.50
22:27:42, all, 28.50, 0.00,   28.00,    0.00,   0.00, 43.50
22:27:43, all, 28.50, 0.00,   32.00,    0.00,   0.00, 39.50
22:27:44, all, 26.50, 0.00,   30.50,    0.00,   0.00, 43.00
22:27:45, all, 35.00, 0.00,   24.00,    0.00,   0.00, 41.00
22:27:46, all, 31.50, 0.00,   29.00,    0.00,   0.00, 39.50
22:27:47, all, 33.50, 0.00,   24.00,    0.50,   0.00, 42.00
22:27:48, all, 27.00, 0.00,   29.00,    0.00,   0.00, 44.00
22:27:49, all, 29.50, 0.00,   27.00,    0.00,   0.00, 43.50
22:27:50, all, 29.50, 0.00,   28.50,    0.00,   0.00, 42.00
22:27:51, all, 30.50, 0.00,   29.00,    0.00,   0.00, 40.50
22:27:52, all, 31.50, 0.00,   26.50,    0.50,   0.00, 41.50
22:27:53, all, 28.00, 0.00,   32.00,    0.00,   0.00, 40.00
22:27:54, all, 28.50, 0.00,   33.00,    0.00,   0.00, 38.50
22:27:55, all, 29.50, 0.00,   29.00,    0.00,   0.00, 41.50
22:27:56, all, 34.50, 0.00,   26.50,    0.00,   0.00, 39.00
22:27:57, all, 33.00, 0.00,   23.50,    0.00,   0.00, 43.50
22:27:58, all, 33.50, 0.00,   27.00,    0.00,   0.00, 39.50
22:27:59, all, 25.50, 0.00,   30.00,    0.00,   0.00, 44.50
22:28:00, all, 27.50, 0.00,   30.00,    0.00,   0.00, 42.50
22:28:01, all, 41.50, 0.00,   35.00,    0.00,   0.00, 23.50
Average:, all, 30.28, 0.00,   18.52,    0.81,   0.00, 50.39
