22:27:01, active/s, passive/s,  iseg/s,  oseg/s
22:27:02,     1.00,      0.00,   11.00,   13.00
22:27:03,     0.00,      0.00,    1.00,    1.00
22:27:04,     0.00,      0.00,    1.00,    1.00
22:27:05,     0.00,      0.00,  947.00,  928.00
22:27:06,     0.00,      0.00,  930.00,  921.00
22:27:07,     0.00,      0.00, 1044.00, 1026.00
22:27:08,     0.00,      0.00, 1022.00, 1006.00
22:27:09,     0.00,      0.00, 1026.00, 1009.00
22:27:10,     0.00,      0.00, 1034.00, 1011.00
22:27:11,     0.00,      0.00,  922.00,  876.00
22:27:12,     0.00,      0.00,  886.00,  861.00
22:27:13,     0.00,      0.00, 1048.00, 1029.00
22:27:14,     0.00,      0.00, 1021.00, 1003.00
22:27:15,     0.00,      0.00, 1022.00,  997.00
22:27:16,     0.00,      0.00, 1024.00, 1006.00
22:27:17,     0.00,      0.00, 1029.00,  999.00
22:27:18,     0.00,      0.00, 1032.00, 1018.00
22:27:19,     0.00,      0.00, 1036.00, 1023.00
22:27:20,     0.00,      0.00, 1048.00, 1033.00
22:27:21,     0.00,      0.00, 1001.00,  982.00
22:27:22,     0.00,      0.00,  932.00,  900.00
22:27:23,     0.00,      0.00, 1040.00, 1027.00
22:27:24,     0.00,      0.00, 1056.00, 1043.00
22:27:25,     0.00,      0.00, 1045.00, 1021.00
22:27:26,     0.00,      0.00, 1038.00, 1020.00
22:27:27,     0.00,      0.00, 1051.00, 1037.00
22:27:28,     0.00,      0.00, 1028.00, 1016.00
22:27:29,     0.00,      0.00, 1037.00, 1016.00
22:27:30,     0.00,      0.00, 1018.00,  999.00
22:27:31,     0.00,      0.00, 1060.00, 1038.00
22:27:32,     0.00,      0.00, 1013.00,  999.00
22:27:33,     0.00,      0.00, 1056.00, 1035.00
22:27:34,     0.00,      0.00, 1050.00, 1149.00
22:27:35,     0.00,      0.00, 1186.00, 2391.00
22:27:36,     0.00,      0.00, 1184.00, 2379.00
22:27:37,     0.00,      0.00, 1169.00, 2352.00
22:27:38,     0.00,      0.00, 1169.00, 2377.00
22:27:39,     0.00,      0.00, 1177.00, 2390.00
22:27:40,     0.00,      0.00, 1073.00, 2171.00
22:27:41,     0.00,      0.00, 1114.00, 2237.00
22:27:42,     0.00,      0.00, 1196.00, 2419.00
22:27:43,     0.00,      0.00, 1214.00, 2439.00
22:27:44,     0.00,      0.00, 1203.00, 2454.00
22:27:45,     0.00,      0.00, 1210.00, 2453.00
22:27:46,     0.00,      0.00, 1194.00, 2452.00
22:27:47,     0.00,      0.00, 1136.00, 2302.00
22:27:48,     0.00,      0.00, 1197.00, 2438.00
22:27:49,     0.00,      0.00, 1214.00, 2453.00
22:27:50,     0.00,      0.00, 1200.00, 2447.00
22:27:51,     0.00,      0.00, 1215.00, 2453.00
22:27:52,     0.00,      0.00, 1210.00, 2443.00
22:27:53,     0.00,      0.00, 1211.00, 2449.00
22:27:54,     0.00,      0.00, 1219.00, 2457.00
22:27:55,     0.00,      0.00, 1219.00, 2457.00
22:27:56,     0.00,      0.00, 1215.00, 2454.00
22:27:57,     0.00,      0.00, 1212.00, 2437.00
22:27:58,     0.00,      0.00, 1207.00, 2460.00
22:27:59,     0.00,      0.00, 1214.00, 2454.00
22:28:00,     0.00,      0.00, 1212.00, 2449.00
22:28:01,     0.00,      0.00, 1110.00, 2237.00
Average:,     0.02,      0.00, 1043.15, 1582.45
