14:28:17, active/s, passive/s,  iseg/s,  oseg/s
14:28:18,     4.00,      2.00,   31.00,   29.00
14:28:19,     1.00,      0.00,    2.00,    2.00
14:28:20,     2.00,      0.00,    3.00,    3.00
14:28:21,     1.00,      0.00, 2773.00, 2789.00
14:28:22,     2.00,      0.00, 2773.00, 2785.00
14:28:23,     1.00,      0.00, 3084.00, 3099.00
14:28:24,     2.00,      0.00, 3029.00, 3045.00
14:28:25,     0.00,      0.00, 3043.00, 3060.00
14:28:26,     3.00,      0.00, 3058.00, 3081.00
14:28:27,     1.00,      0.00, 2701.00, 2747.00
14:28:28,     3.00,      0.00, 2610.00, 2636.00
14:28:29,     0.00,      0.00, 3104.00, 3123.00
14:28:30,     3.00,      0.00, 3019.00, 3037.00
14:28:31,     0.00,      0.00, 3025.00, 3051.00
14:28:32,     2.00,      0.00, 3033.00, 3050.00
14:28:33,     0.00,      0.00, 3037.00, 3067.00
14:28:34,     2.00,      0.00, 3066.00, 3081.00
14:28:35,     1.00,      0.00, 3079.00, 3091.00
14:28:36,     2.00,      0.00, 3118.00, 3133.00
14:28:37,     2.00,      0.00, 2974.00, 2992.00
14:28:38,     3.00,      0.00, 2770.00, 2802.00
14:28:39,     1.00,      0.00, 3084.00, 3098.00
14:28:40,     3.00,      0.00, 3141.00, 3156.00
14:28:41,     0.00,      0.00, 3087.00, 3109.00
14:28:42,     2.00,      0.00, 3083.00, 3101.00
14:28:43,     0.00,      0.00, 3112.00, 3126.00
14:28:44,     2.00,      0.00, 3062.00, 3076.00
14:28:45,     1.00,      0.00, 3061.00, 3081.00
14:28:46,     2.00,      0.00, 3016.00, 3035.00
14:28:47,     0.00,      0.00, 3129.00, 3150.00
14:28:48,     2.00,      0.00, 3011.00, 3026.00
14:28:49,     0.00,      0.00, 3115.00, 3135.00
14:28:50,     2.00,      0.00, 3044.00, 2950.00
14:28:51,     1.00,      0.00, 2393.00, 1187.00
14:28:52,     2.00,      0.00, 2377.00, 1184.00
14:28:53,     1.00,      0.00, 2353.00, 1170.00
14:28:54,     2.00,      0.00, 2378.00, 1170.00
14:28:55,     1.00,      0.00, 2391.00, 1179.00
14:28:56,     3.00,      0.00, 2175.00, 1076.00
14:28:57,     0.00,      0.00, 2237.00, 1114.00
14:28:58,     3.00,      0.00, 2422.00, 1199.00
14:28:59,     0.00,      0.00, 2438.00, 1213.00
14:29:00,     2.00,      0.00, 2461.00, 1208.00
14:29:01,     0.00,      0.00, 2449.00, 1208.00
14:29:02,     3.00,      0.00, 2455.00, 1197.00
14:29:03,     1.00,      0.00, 2309.00, 1140.00
14:29:04,     3.00,      0.00, 2434.00, 1196.00
14:29:05,     0.00,      0.00, 2454.00, 1217.00
14:29:06,     4.00,      0.00, 2451.00, 1202.00
14:29:07,     0.00,      0.00, 2458.00, 1217.00
14:29:08,     2.00,      0.00, 2440.00, 1210.00
14:29:09,     0.00,      0.00, 2454.00, 1213.00
14:29:10,     2.00,      0.00, 2458.00, 1221.00
14:29:11,     0.00,      0.00, 2453.00, 1216.00
14:29:12,     2.00,      0.00, 2461.00, 1220.00
14:29:13,     0.00,      0.00, 2432.00, 1210.00
14:29:14,     2.00,      0.00, 2462.00, 1209.00
14:29:15,     1.00,      0.00, 2454.00, 1214.00
14:29:16,     2.00,      0.00, 2457.00, 1217.00
14:29:17,     0.00,      0.00, 2233.00, 1108.00
Average:,     1.45,      0.03, 2586.93, 2047.68
